iter	Logloss
0	0.6871160463
1	0.6810478661
2	0.6748046205
3	0.6690555587
4	0.6636503623
5	0.6580880001
6	0.6528014438
7	0.6473168791
8	0.6427674712
9	0.6378578107
10	0.6329963079
11	0.628541907
12	0.6243032443
13	0.6197781343
14	0.6156275807
15	0.6116507212
16	0.6076096987
17	0.6040116767
18	0.600481215
19	0.5970982842
20	0.5940783871
21	0.5906318187
22	0.5875721535
23	0.5844199454
24	0.5815811432
25	0.5787547299
26	0.5760088072
27	0.5737254927
28	0.5706279163
29	0.5682020186
30	0.5655010175
31	0.5632420437
32	0.5610057603
33	0.5583862625
34	0.5562079466
35	0.5540580937
36	0.5519080931
37	0.5497168226
38	0.5477323156
39	0.5456717181
40	0.5438930086
41	0.5420744382
42	0.5399531118
43	0.5379370379
44	0.5360864613
45	0.5346970229
46	0.532938529
47	0.5312338445
48	0.5296555175
49	0.5279824453
50	0.5265343677
51	0.5249741647
52	0.5233941773
53	0.5219292972
54	0.5203431532
55	0.5188310735
56	0.5174545036
57	0.5161174235
58	0.5145772293
59	0.513260808
60	0.5119899217
61	0.5108017249
62	0.5092523418
63	0.5077496917
64	0.5065794139
65	0.5056117007
66	0.5044574328
67	0.5033655957
68	0.50237413
69	0.5014881364
70	0.5004570396
71	0.4994432693
72	0.4985426178
73	0.4975976952
74	0.4967144051
75	0.4957343533
76	0.4946002873
77	0.4936971735
78	0.4927326619
79	0.4918976497
80	0.4909128263
81	0.4900979773
82	0.4895064791
83	0.488767748
84	0.4878902312
85	0.4871948046
86	0.4864327681
87	0.4857993563
88	0.4851271136
89	0.4844683431
90	0.4838501615
91	0.4830325066
92	0.4821893401
93	0.4815719928
94	0.4809740297
95	0.4803933284
96	0.4796963041
97	0.4791225628
98	0.478392544
99	0.477777543
100	0.4773562359
101	0.4767454072
102	0.4761846957
103	0.4756022792
104	0.4749383094
105	0.4744283812
106	0.4740374957
107	0.473497466
108	0.4726293274
109	0.4719933813
110	0.4713006618
111	0.470662983
112	0.4700950147
113	0.4696027919
114	0.4690130969
115	0.4686114276
116	0.4681379288
117	0.4676615049
118	0.4670096155
119	0.4664399761
120	0.4660371316
121	0.4654576706
122	0.4648453935
123	0.4642841467
124	0.463583075
125	0.4631825609
126	0.4627932908
127	0.4622240286
128	0.4616356252
129	0.4611746109
130	0.4608742826
131	0.4604412942
132	0.4602064788
133	0.4599511509
134	0.4594554422
135	0.4589196957
136	0.4586089694
137	0.4582732563
138	0.4580010064
139	0.4576634574
140	0.4571616347
141	0.4566938304
142	0.4562920004
143	0.45582953
144	0.4555372487
145	0.4550818109
146	0.4547001352
147	0.4542969498
148	0.4538605085
149	0.4534057389
150	0.4528876299
151	0.4523990423
152	0.4517544276
153	0.451315558
154	0.4509502222
155	0.4505442589
156	0.4503098528
157	0.4499128772
158	0.4495862713
159	0.449030682
160	0.4487068281
161	0.448374058
162	0.4480078313
163	0.4476005923
164	0.4472508297
165	0.446841355
166	0.4463214052
167	0.4460030394
168	0.4456651606
169	0.4452161376
170	0.4449581689
171	0.444803216
172	0.4445208525
173	0.4441797119
174	0.4438995382
175	0.4435180006
176	0.4432484553
177	0.4428247738
178	0.4424900257
179	0.4421734805
180	0.4418855333
181	0.4413977997
182	0.4409033763
183	0.4403423124
184	0.4399116064
185	0.4394878495
186	0.4391642855
187	0.4388549856
188	0.4386315214
189	0.4383403332
190	0.4381790033
191	0.4378988993
192	0.4375529389
193	0.4372211359
194	0.4368276463
195	0.4365408096
196	0.4363732048
197	0.4360306586
198	0.4356857239
199	0.4353758033
200	0.4349389566
201	0.4344303472
202	0.4340498022
203	0.4339197893
204	0.4336586905
205	0.4334089989
206	0.4331369527
207	0.4328313025
208	0.4326131237
209	0.4323975989
210	0.4322286785
211	0.4320048996
212	0.4316324865
213	0.4314529769
214	0.4311245368
215	0.4308017824
216	0.4304118887
217	0.4301696859
218	0.4298857354
219	0.4295698293
220	0.4294306441
221	0.4290289012
222	0.4288115088
223	0.4284785355
224	0.4281829192
225	0.427934921
226	0.4276257587
227	0.4274047779
228	0.4271249942
229	0.4269022185
230	0.4265351885
231	0.4262101768
232	0.4258853603
233	0.4256184936
234	0.4253700865
235	0.4250702633
236	0.424856893
237	0.4245965603
238	0.4243384132
239	0.4241017563
240	0.4238693077
241	0.4236721088
242	0.4233795163
243	0.4232089507
244	0.4229591975
245	0.4226863282
246	0.4224770962
247	0.4222446658
248	0.4219176333
249	0.4217177866
250	0.4214484941
251	0.4211327201
252	0.4208833915
253	0.4206687918
254	0.4204900491
255	0.4203012979
256	0.4201318911
257	0.4199829806
258	0.419757593
259	0.4194378797
260	0.4193277067
261	0.4190568981
262	0.4188156671
263	0.4186518727
264	0.4183979332
265	0.4180266763
266	0.4176576893
267	0.4173916179
268	0.4172270092
269	0.4168138025
270	0.4165963037
271	0.4164291084
272	0.4162112062
273	0.4160239422
274	0.4157634471
275	0.415521818
276	0.4153621421
277	0.4150665546
278	0.4147892837
279	0.4145494802
280	0.4143477986
281	0.4140577518
282	0.4137819417
283	0.4134848165
284	0.413308755
285	0.4131203314
286	0.4127018316
287	0.4123795016
288	0.4122637376
289	0.4119294097
290	0.4117826999
291	0.4114209881
292	0.4111839871
293	0.4109465936
294	0.4107063644
295	0.4104588934
296	0.4102692728
297	0.4100799765
298	0.4098641185
299	0.4094729207
300	0.4092805974
301	0.4091566975
302	0.4089763969
303	0.4087235501
304	0.4084327827
305	0.408237186
306	0.407902884
307	0.4077189404
308	0.4073919996
309	0.407140044
310	0.4068504947
311	0.4065384423
312	0.4062352651
313	0.4060457484
314	0.405861753
315	0.4056365982
316	0.4054455627
317	0.4052764512
318	0.4051109872
319	0.4047901704
320	0.4046799884
321	0.4044462069
322	0.4041275509
323	0.4038478757
324	0.4036028071
325	0.4033596581
326	0.4031010988
327	0.4027972776
328	0.4025761871
329	0.4024012516
330	0.4020925897
331	0.4017835785
332	0.4015302054
333	0.4012419397
334	0.4008996857
335	0.4006120068
336	0.4004462383
337	0.4002125822
338	0.3999254629
339	0.3995641057
340	0.3992612792
341	0.3989708046
342	0.3987829831
343	0.3986026568
344	0.398408832
345	0.3982746692
346	0.3979170461
347	0.3976834893
348	0.397534463
349	0.3972724648
350	0.3970710479
351	0.3968916541
352	0.3967560318
353	0.3965831145
354	0.396459964
355	0.396156199
356	0.395977998
357	0.3958063128
358	0.3955946758
359	0.3954772069
360	0.3953170291
361	0.395114561
362	0.394930843
363	0.3946719834
364	0.394408689
365	0.394190109
366	0.3937431977
367	0.3935712367
368	0.3932930691
369	0.3930969623
370	0.3928364988
371	0.3925894549
372	0.3923232568
373	0.3921179085
374	0.3918517587
375	0.3917281633
376	0.3915814098
377	0.3913401129
378	0.3911449855
379	0.3909736001
380	0.3907860371
381	0.390530873
382	0.3902879901
383	0.3901738698
384	0.3900357355
385	0.3898748296
386	0.3897279891
387	0.3894865059
388	0.3893370947
389	0.389039666
390	0.3887637346
391	0.3884647297
392	0.3882229017
393	0.3880685772
394	0.387864208
395	0.3876956871
396	0.3874565286
397	0.3873498329
398	0.3870280674
399	0.3867227328
400	0.386408999
401	0.3862509412
402	0.3861360103
403	0.3859581975
404	0.3858741893
405	0.3857118113
406	0.3854750178
407	0.3852926547
408	0.3850406795
409	0.3848183597
410	0.3846339339
411	0.384495681
412	0.3843573604
413	0.3842022005
414	0.3839703716
